rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
97,Dark Olive Drab|Purple|Red|Orange,#575B54|#6C47B2|#E72F1D|#F67405,32.1923,28.3865,27.2378,26.2285,25.0499,69.1707,27.3075
98,Purple|Grey|Lime Green|Orange,#6C47B2|#8C9099|#D5D701|#F67405,31.2096,28.4077,27.3895,26.2269,24.4357,67.3065,27.3173
99,Azure Blue|Brown|Red|Yellow,#0066D9|#55331A|#E72F1D|#FFE800,34.1965,28.6151,27.2056,26.0349,24.6971,56.4770,27.3250
100,Blue|Purple|Cold White|Red,#003776|#6C47B2|#D9DFE5|#E72F1D,32.5525,28.4838,27.3065,26.1791,24.5935,90.4249,27.3315
101,Brown|Purple|Tan|Red,#55331A|#6C47B2|#A79E82|#E72F1D,34.4328,28.5281,27.2035,26.1382,24.7773,86.3265,27.3332
102,Green|Purple|Red|Magenta,#06924D|#6C47B2|#E72F1D|#F24574,31.6513,28.1326,27.3267,26.5386,25.1718,77.2143,27.3356
103,Purple|Lime Green|Orange|Yellow,#6C47B2|#D5D701|#F67405|#FFE800,31.4157,28.4615,27.3923,26.2301,24.5856,71.8023,27.3458
104,Purple|Tan|Lime Green|Orange,#6C47B2|#A79E82|#D5D701|#F67405,31.2743,28.4585,27.4485,26.2803,24.4992,67.0596,27.3694
105,Black|Purple|Cold White|Red,#080A0D|#6C47B2|#D9DFE5|#E72F1D,35.6174,28.7263,27.2503,26.0882,24.6468,90.2066,27.4072
106,Green|Purple|Olive Green|Red,#06924D|#6C47B2|#948902|#E72F1D,32.3692,28.2148,27.3478,26.6037,25.3579,70.6247,27.4092
107,Azure Blue|Purple|Red|Orange,#0066D9|#6C47B2|#E72F1D|#F67405,32.3718,28.6062,27.3684,26.2134,25.0517,95.9493,27.4098
108,Azure Blue|Brown|Lime Green|Red,#0066D9|#55331A|#D5D701|#E72F1D,34.2900,28.7165,27.3254,26.1251,24.6165,52.9358,27.4208
109,Purple|Red|White|Pink,#6C47B2|#E72F1D|#EBF7FF|#F1A1AF,32.2010,28.5469,27.4866,26.4143,24.9046,91.9975,27.4806
110,Purple|Lime Green|Cold White|Orange,#6C47B2|#D5D701|#D9DFE5|#F67405,31.4839,28.5758,27.5568,26.3949,24.5810,69.1117,27.4853
111,Purple|Lime Green|Pink|Orange,#6C47B2|#D5D701|#F1A1AF|#F67405,31.5589,28.6080,27.5539,26.3686,24.5572,70.0152,27.4883
112,Green|Purple|Red|Orange,#06924D|#6C47B2|#E72F1D|#F67405,31.6163,28.2611,27.4694,26.7236,25.4935,68.1748,27.4923
113,Dark Olive Drab|Purple|Lime Green|Magenta,#575B54|#6C47B2|#D5D701|#F24574,34.4919,28.8795,27.3833,26.1387,24.4881,65.0957,27.5091
114,Purple|Red|White|Magenta,#6C47B2|#E72F1D|#EBF7FF|#F24574,32.2687,28.6073,27.5465,26.4732,24.9562,91.9975,27.5403
115,Polymaker Teal|Brown|Purple|Red,#4CC0C7|#55331A|#6C47B2|#E72F1D,34.8994,28.8618,27.4467,26.2622,24.7825,90.4435,27.5620
116,Blue|Purple|Grey|Red,#003776|#6C47B2|#8C9099|#E72F1D,32.6014,28.6788,27.5239,26.4483,25.1282,92.9584,27.5635
117,Green|Brown|Purple|Orange,#06924D|#55331A|#6C47B2|#F67405,33.7817,28.5527,27.5905,26.6261,24.8290,65.2066,27.5894
118,Purple|Tan|Red|Orange,#6C47B2|#A79E82|#E72F1D|#F67405,31.7649,28.5093,27.5854,26.7089,25.5536,69.8921,27.6091
119,Black|Purple|Grey|Red,#080A0D|#6C47B2|#8C9099|#E72F1D,35.6553,28.9004,27.4613,26.3672,25.1595,93.5017,27.6338
