rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
2197,Blue|Dark Olive Drab|Olive Green|Yellow,#003776|#575B54|#948902|#FFE800,23.8926,16.4355,15.0014,14.1225,13.5439,34.6806,15.2790
2198,Blue|Grey|Lime Green|Pink,#003776|#8C9099|#D5D701|#F1A1AF,28.0292,16.8440,14.9088,13.7153,12.8895,33.7748,15.2796
2199,Green|Black|Lime Green|Cold White,#06924D|#080A0D|#D5D701|#D9DFE5,34.2460,17.0810,14.5294,13.4804,13.1278,31.9494,15.2807
2200,Black|Brown|Purple|Grey,#080A0D|#55331A|#6C47B2|#8C9099,21.9552,15.8228,14.9040,14.7386,14.9520,34.6675,15.2807
2201,Blue|Black|Brown|Grey,#003776|#080A0D|#55331A|#8C9099,21.9540,15.8229,14.9044,14.7391,14.9527,34.6677,15.2810
2202,Azure Blue|Dark Grey|Grey|Olive Green,#0066D9|#485259|#8C9099|#948902,31.0714,17.0743,14.7817,13.4882,12.6851,37.0850,15.2812
2203,Brown|Dark Olive Drab|Purple|Grey,#55331A|#575B54|#6C47B2|#8C9099,21.0952,15.7685,15.0167,14.8035,14.9605,34.6632,15.2860
2204,Green|Grey|Tan|Magenta,#06924D|#8C9099|#A79E82|#F24574,25.1533,16.8031,15.0932,13.7843,12.6142,38.6104,15.2937
2205,Blue|White|Pink|Yellow,#003776|#EBF7FF|#F1A1AF|#FFE800,27.6744,16.7706,14.9059,13.8248,13.2063,34.4419,15.2977
2206,Black|Polymaker Teal|Dark Olive Drab|Magenta,#080A0D|#4CC0C7|#575B54|#F24574,22.9507,16.1540,14.9465,14.4753,14.4261,33.1314,15.3146
2207,Azure Blue|Dark Grey|White|Yellow,#0066D9|#485259|#EBF7FF|#FFE800,23.2278,16.4190,15.0863,14.2153,13.6672,30.4449,15.3172
