rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
165,Black|Dark Olive Drab|Tan,#080A0D|#575B54|#A79E82,18.3504,11.6939,10.9582,10.5716,10.3328,20.1998,11.1327
166,Black|Dark Grey|Tan,#080A0D|#485259|#A79E82,20.2342,11.8630,10.9166,10.4579,10.2085,20.7873,11.1605
167,Dark Grey|Grey|Orange,#485259|#8C9099|#F67405,18.6908,12.2066,11.0949,10.4601,10.1068,22.4456,11.3333
168,Dark Grey|Cold White|Orange,#485259|#D9DFE5|#F67405,18.7898,12.2247,11.0880,10.4535,10.1093,22.6858,11.3391
169,Dark Grey|Purple|Orange,#485259|#6C47B2|#F67405,18.7997,12.2275,11.0897,10.4534,10.1047,22.6048,11.3404
170,Dark Grey|Magenta|Orange,#485259|#F24574|#F67405,18.8008,12.2294,11.0914,10.4550,10.1063,22.6048,11.3422
171,Dark Grey|Pink|Orange,#485259|#F1A1AF|#F67405,18.8079,12.2326,11.0917,10.4555,10.1061,22.5735,11.3440
172,Blue|Dark Grey|Orange,#003776|#485259|#F67405,18.8154,12.2375,11.0980,10.4618,10.1155,22.6952,11.3497
173,Azure Blue|Dark Grey|Orange,#0066D9|#485259|#F67405,18.8065,12.2453,11.1084,10.4717,10.1228,22.7005,11.3585
174,Brown|Dark Olive Drab|Red,#55331A|#575B54|#E72F1D,19.5401,12.3422,11.0483,10.4366,10.2763,27.0933,11.3894
175,Dark Grey|Red|Orange,#485259|#E72F1D|#F67405,18.8295,12.2937,11.1653,10.5307,10.1784,22.6238,11.4122
176,Blue|Olive Green|Magenta,#003776|#948902|#F24574,35.1094,14.3811,10.6518,8.5011,7.2465,34.8642,11.4411
177,Dark Grey|Polymaker Teal|Orange,#485259|#4CC0C7|#F67405,18.8770,12.4271,11.2575,10.5805,10.2152,24.1555,11.5038
178,Black|Purple|Tan,#080A0D|#6C47B2|#A79E82,23.4593,12.6677,11.1991,10.4667,10.1784,31.8298,11.5672
179,Blue|Olive Green|Pink,#003776|#948902|#F1A1AF,33.7621,14.1660,10.9166,9.1155,8.0503,33.9101,11.6408
180,Black|Dark Olive Drab|Red,#080A0D|#575B54|#E72F1D,21.0086,12.6674,11.3505,10.7954,10.7148,26.4528,11.7314
181,Brown|Dark Olive Drab|Pink,#55331A|#575B54|#F1A1AF,18.7989,12.4477,11.4963,11.1037,11.0639,27.8015,11.7757
182,Dark Olive Drab|Tan|Yellow,#575B54|#A79E82|#FFE800,16.4255,12.4747,11.7163,11.1991,10.8312,22.3971,11.8369
183,Green|Dark Olive Drab|Magenta,#06924D|#575B54|#F24574,22.6276,13.3940,11.4771,10.3984,9.7786,27.5933,11.8962
184,Dark Olive Drab|Cold White|Red,#575B54|#D9DFE5|#E72F1D,19.7917,12.9702,11.6935,10.9651,10.5844,26.6799,11.9676
185,Dark Olive Drab|Red|Magenta,#575B54|#E72F1D|#F24574,19.8063,12.9901,11.7144,10.9841,10.6001,26.7509,11.9871
186,Polymaker Teal|Dark Olive Drab|Red,#4CC0C7|#575B54|#E72F1D,19.8287,13.0367,11.7607,11.0238,10.6333,26.6803,12.0303
187,Black|Grey|Yellow,#080A0D|#8C9099|#FFE800,27.8654,13.4954,11.5009,10.5787,10.2236,24.8996,12.0370
188,Dark Olive Drab|Grey|Red,#575B54|#8C9099|#E72F1D,19.8018,13.0410,11.7745,11.0509,10.6686,26.7927,12.0459
189,Dark Grey|Dark Olive Drab|Red,#485259|#575B54|#E72F1D,19.8137,12.9972,11.7573,11.0971,10.7979,26.5698,12.0472
190,Azure Blue|Dark Olive Drab|Red,#0066D9|#575B54|#E72F1D,19.8686,13.0373,11.7711,11.0606,10.6963,26.8869,12.0489
191,Dark Olive Drab|Purple|Red,#575B54|#6C47B2|#E72F1D,19.8779,13.0497,11.7758,11.0607,10.7043,27.2168,12.0552
192,Green|Dark Grey|Magenta,#06924D|#485259|#F24574,25.7843,13.9348,11.5431,10.2325,9.5276,29.1627,12.0836
193,Green|Black|Pink,#06924D|#080A0D|#F1A1AF,27.5927,13.7304,11.4691,10.4496,10.1110,29.9868,12.0900
194,Polymaker Teal|Brown|Red,#4CC0C7|#55331A|#E72F1D,21.4346,13.3235,11.6809,10.8619,10.5880,27.4832,12.0927
195,Brown|Grey|Red,#55331A|#8C9099|#E72F1D,20.7661,13.0878,11.7284,11.1344,10.9486,27.3480,12.1111
196,Blue|Dark Olive Drab|Red,#003776|#575B54|#E72F1D,19.9850,13.0746,11.8247,11.1556,10.8400,26.8148,12.1151
197,Black|Brown|Red,#080A0D|#55331A|#E72F1D,20.9873,13.0021,11.6904,11.2495,11.2615,27.1468,12.1258
198,Brown|Red|Pink,#55331A|#E72F1D|#F1A1AF,20.5636,13.0741,11.7945,11.2099,10.9825,27.0882,12.1420
199,Black|Dark Olive Drab|Yellow,#080A0D|#575B54|#FFE800,21.7436,13.0443,11.8373,11.2540,11.0103,22.6085,12.1491
200,Black|Brown|Pink,#080A0D|#55331A|#F1A1AF,20.1150,12.8404,11.7844,11.4803,11.5389,28.1879,12.1604
201,Brown|Cold White|Red,#55331A|#D9DFE5|#E72F1D,21.0181,13.2407,11.7911,11.1076,10.8587,27.1738,12.1742
202,Dark Grey|Brown|Red,#485259|#55331A|#E72F1D,20.4760,13.0495,11.8191,11.3595,11.3333,27.0745,12.2045
203,Brown|Purple|Red,#55331A|#6C47B2|#E72F1D,20.9711,13.2832,11.8803,11.2378,11.0089,27.4235,12.2605
204,Brown|Grey|Pink,#55331A|#8C9099|#F1A1AF,20.2154,13.0876,11.9518,11.4651,11.3304,27.9406,12.2764
205,Brown|Red|Magenta,#55331A|#E72F1D|#F24574,20.9971,13.3027,11.8963,11.2545,11.0206,27.2843,12.2786
206,Brown|Purple|Pink,#55331A|#6C47B2|#F1A1AF,20.2551,13.1256,11.9573,11.4448,11.2876,28.1996,12.2852
207,Polymaker Teal|Brown|Pink,#4CC0C7|#55331A|#F1A1AF,20.5071,13.2634,11.9471,11.3139,11.1425,28.2596,12.2887
208,Dark Olive Drab|Olive Green|Tan,#575B54|#948902|#A79E82,18.4865,13.1017,12.1286,11.4911,11.0375,25.5751,12.2964
209,Brown|Cold White|Pink,#55331A|#D9DFE5|#F1A1AF,20.3163,13.1662,11.9883,11.4400,11.2303,28.2455,12.3031
210,Dark Olive Drab|Red|Pink,#575B54|#E72F1D|#F1A1AF,19.4865,13.2278,12.0800,11.4009,11.0358,26.6113,12.3143
211,Blue|Brown|Red,#003776|#55331A|#E72F1D,21.1179,13.2778,11.9007,11.3563,11.2556,27.2216,12.3171
212,Azure Blue|Brown|Red,#0066D9|#55331A|#E72F1D,21.1001,13.3302,11.9245,11.3372,11.1785,27.2986,12.3337
213,Blue|Brown|Pink,#003776|#55331A|#F1A1AF,20.4237,13.1595,12.0257,11.6041,11.5629,28.0046,12.3818
214,Azure Blue|Brown|Pink,#0066D9|#55331A|#F1A1AF,20.3366,13.1976,12.0485,11.5746,11.4654,28.2555,12.3861
215,Brown|Pink|Magenta,#55331A|#F1A1AF|#F24574,20.3552,13.2490,12.0912,11.5603,11.3626,28.6895,12.4047
216,Dark Grey|Brown|Pink,#485259|#55331A|#F1A1AF,19.8492,13.0398,12.0819,11.7805,11.8230,27.8175,12.4101
217,Blue|Black|Yellow,#003776|#080A0D|#FFE800,29.7546,14.1852,11.8844,10.8111,10.3937,27.7147,12.4981
218,Dark Grey|Tan|Yellow,#485259|#A79E82|#FFE800,18.7023,13.2818,12.3271,11.7311,11.3226,23.2427,12.5065
