rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
618,Tan|Magenta|Yellow,#A79E82|#F24574|#FFE800,25.2400,22.1614,21.3897,20.7022,20.0640,51.9933,21.4318
619,Olive Green|Pink|Magenta,#948902|#F1A1AF|#F24574,34.7894,22.9782,21.2029,20.0060,19.0871,49.0430,21.4921
620,Blue|Azure Blue|Lime Green,#003776|#0066D9|#D5D701,32.4523,22.7149,21.2028,20.2957,19.6922,37.4738,21.5053
621,Black|Dark Grey|Grey,#080A0D|#485259|#8C9099,28.6467,21.9920,21.4221,21.2100,21.1445,35.2000,21.6010
622,Grey|Lime Green|Orange,#8C9099|#D5D701|#F67405,25.6687,22.3462,21.5998,20.9566,20.3752,44.6519,21.6514
623,Tan|Pink|Orange,#A79E82|#F1A1AF|#F67405,24.6016,22.3742,21.6876,20.9444,20.1822,51.0900,21.6593
624,Black|Dark Grey|Cold White,#080A0D|#485259|#D9DFE5,28.9330,22.0892,21.4890,21.2682,21.1949,35.2455,21.6787
625,Azure Blue|Olive Green|Lime Green,#0066D9|#948902|#D5D701,37.4199,23.1932,21.3257,20.1877,19.3584,42.9400,21.6904
626,Azure Blue|Black|Dark Grey,#0066D9|#080A0D|#485259,28.9559,22.1310,21.5396,21.3254,21.2584,35.2863,21.7282
627,Blue|Black|Dark Grey,#003776|#080A0D|#485259,28.9566,22.1311,21.5397,21.3255,21.2584,35.2863,21.7283
628,Black|Dark Grey|Purple,#080A0D|#485259|#6C47B2,28.9566,22.1311,21.5397,21.3255,21.2584,35.2863,21.7283
629,Black|Dark Grey|Polymaker Teal,#080A0D|#485259|#4CC0C7,28.9568,22.1319,21.5406,21.3265,21.2594,35.2863,21.7292
630,Tan|Orange|Yellow,#A79E82|#F67405|#FFE800,24.6074,22.3869,21.7595,21.1462,20.5624,51.1858,21.7666
631,Tan|Lime Green|Orange,#A79E82|#D5D701|#F67405,24.6635,22.4106,21.7715,21.1398,20.5260,51.1581,21.7752
632,Polymaker Teal|Olive Green|Pink,#4CC0C7|#948902|#F1A1AF,34.9487,23.2535,21.6040,20.4641,19.5373,49.4727,21.8588
633,Grey|Orange|Yellow,#8C9099|#F67405|#FFE800,25.6751,22.5356,21.8341,21.2232,20.6756,44.7239,21.8794
634,Green|Pink|Orange,#06924D|#F1A1AF|#F67405,29.4583,23.0251,21.7809,20.8125,19.9703,46.9740,21.9188
635,Green|Grey|Pink,#06924D|#8C9099|#F1A1AF,29.5271,23.0462,21.8240,20.8463,19.9505,44.5004,21.9462
636,Olive Green|Red|Magenta,#948902|#E72F1D|#F24574,34.5322,23.4517,21.6757,20.4736,19.5411,49.7499,21.9626
637,Grey|Magenta|Yellow,#8C9099|#F24574|#FFE800,26.7643,22.7725,21.8971,21.1763,20.5536,46.8634,21.9744
638,Grey|Olive Green|Yellow,#8C9099|#948902|#FFE800,30.8351,22.9959,21.8790,21.0381,20.2925,45.4296,22.0170
639,Azure Blue|Olive Green|Yellow,#0066D9|#948902|#FFE800,36.4257,23.4450,21.7649,20.7031,19.9039,43.8934,22.0740
640,Polymaker Teal|Tan|Magenta,#4CC0C7|#A79E82|#F24574,26.4535,22.9347,22.0443,21.2140,20.4119,50.6867,22.0743
641,Green|Grey|Tan,#06924D|#8C9099|#A79E82,24.5944,22.7490,22.1545,21.4731,20.7393,46.3581,22.1111
642,Polymaker Teal|Grey|Tan,#4CC0C7|#8C9099|#A79E82,24.3809,22.7519,22.1819,21.5099,20.7794,46.8331,22.1309
643,Grey|Tan|Cold White,#8C9099|#A79E82|#D9DFE5,24.3795,22.7513,22.1829,21.5120,20.7817,46.8331,22.1317
644,Olive Green|Cold White|Pink,#948902|#D9DFE5|#F1A1AF,34.6803,23.5036,21.9014,20.7822,19.8831,50.0424,22.1429
645,Olive Green|Red|Pink,#948902|#E72F1D|#F1A1AF,34.4389,23.6072,21.9260,20.7485,19.8267,50.0019,22.1778
646,Olive Green|Cold White|Red,#948902|#D9DFE5|#E72F1D,34.6575,23.7347,21.9243,20.6758,19.7237,50.1023,22.2052
647,Grey|Lime Green|Magenta,#8C9099|#D5D701|#F24574,27.4390,23.0405,22.1181,21.3823,20.7511,47.2898,22.2114
648,Grey|Tan|Yellow,#8C9099|#A79E82|#FFE800,25.1643,22.8930,22.2469,21.5823,20.9153,46.4377,22.2376
649,Tan|Cold White|Orange,#A79E82|#D9DFE5|#F67405,25.1277,22.9651,22.2797,21.5356,20.7734,51.1944,22.2504
650,Green|Purple|Pink,#06924D|#6C47B2|#F1A1AF,34.7793,23.7371,21.8927,20.7891,20.0649,44.3544,22.2631
651,Grey|Tan|Lime Green,#8C9099|#A79E82|#D5D701,24.8738,22.8990,22.2995,21.6469,20.9677,46.9231,22.2730
652,Blue|Purple|Orange,#003776|#6C47B2|#F67405,29.4036,23.0892,22.0928,21.4890,21.0873,36.1261,22.2891
653,Blue|Magenta|Orange,#003776|#F24574|#F67405,29.4075,23.0967,22.1008,21.4958,21.0922,36.1242,22.2962
654,Blue|Pink|Orange,#003776|#F1A1AF|#F67405,29.4109,23.0996,22.1048,21.5011,21.0991,36.2277,22.3004
655,Blue|Azure Blue|Orange,#003776|#0066D9|#F67405,29.4109,23.1210,22.1343,21.5332,21.1320,36.1347,22.3271
656,Tan|Cold White|Pink,#A79E82|#D9DFE5|#F1A1AF,24.9167,23.0816,22.4194,21.6273,20.7525,50.7744,22.3545
657,Blue|Red|Orange,#003776|#E72F1D|#F67405,29.4584,23.1623,22.1733,21.5654,21.1551,36.0997,22.3639
658,Grey|Olive Green|Lime Green,#8C9099|#948902|#D5D701,31.9126,23.3950,22.2355,21.3721,20.6123,45.2137,22.3836
659,Blue|Cold White|Orange,#003776|#D9DFE5|#F67405,29.4657,23.2156,22.2144,21.5960,21.1782,36.0850,22.4058
660,Azure Blue|Tan|Pink,#0066D9|#A79E82|#F1A1AF,25.4347,23.1104,22.4418,21.7611,21.0840,46.6405,22.4358
661,Dark Grey|Grey|Cold White,#485259|#8C9099|#D9DFE5,25.0183,22.8041,22.4296,22.1974,22.0573,35.7661,22.5008
662,Dark Grey|Polymaker Teal|Grey,#485259|#4CC0C7|#8C9099,25.0318,22.8139,22.4381,22.2031,22.0608,35.7533,22.5085
663,Dark Grey|Purple|Grey,#485259|#6C47B2|#8C9099,25.0318,22.8139,22.4381,22.2031,22.0608,35.7533,22.5085
664,Azure Blue|Dark Grey|Grey,#0066D9|#485259|#8C9099,25.0319,22.8141,22.4382,22.2032,22.0610,35.7533,22.5086
665,Blue|Dark Grey|Grey,#003776|#485259|#8C9099,25.0319,22.8141,22.4384,22.2034,22.0612,35.7533,22.5088
666,Dark Grey|Polymaker Teal|Cold White,#485259|#4CC0C7|#D9DFE5,25.3188,22.8736,22.4601,22.2118,22.0646,35.7610,22.5427
667,Dark Grey|Purple|Cold White,#485259|#6C47B2|#D9DFE5,25.3188,22.8736,22.4601,22.2118,22.0646,35.7610,22.5427
668,Azure Blue|Dark Grey|Cold White,#0066D9|#485259|#D9DFE5,25.3189,22.8738,22.4602,22.2120,22.0648,35.7610,22.5429
669,Blue|Dark Grey|Cold White,#003776|#485259|#D9DFE5,25.3189,22.8739,22.4604,22.2122,22.0650,35.7610,22.5430
670,Azure Blue|Dark Grey|Purple,#0066D9|#485259|#6C47B2,25.3247,22.8886,22.4778,22.2295,22.0831,35.7578,22.5590
671,Blue|Dark Grey|Purple,#003776|#485259|#6C47B2,25.3249,22.8886,22.4779,22.2295,22.0832,35.7578,22.5591
672,Blue|Azure Blue|Dark Grey,#003776|#0066D9|#485259,25.3248,22.8888,22.4781,22.2298,22.0835,35.7578,22.5593
673,Dark Grey|Polymaker Teal|Purple,#485259|#4CC0C7|#6C47B2,25.3250,22.8890,22.4782,22.2298,22.0833,35.7578,22.5594
674,Azure Blue|Dark Grey|Polymaker Teal,#0066D9|#485259|#4CC0C7,25.3249,22.8892,22.4784,22.2301,22.0836,35.7578,22.5596
675,Blue|Dark Grey|Polymaker Teal,#003776|#485259|#4CC0C7,25.3251,22.8892,22.4785,22.2301,22.0837,35.7578,22.5597
676,Grey|Red|Orange,#8C9099|#E72F1D|#F67405,25.8226,23.2222,22.5661,21.9173,21.2686,44.2970,22.5698
677,Green|Polymaker Teal|Pink,#06924D|#4CC0C7|#F1A1AF,30.4548,23.7248,22.4595,21.4298,20.4714,46.2958,22.5773
678,Green|Cold White|Pink,#06924D|#D9DFE5|#F1A1AF,30.4540,23.7243,22.4597,21.4313,20.4736,46.2958,22.5778
679,Grey|Pink|Orange,#8C9099|#F1A1AF|#F67405,25.7894,23.2277,22.5789,21.9325,21.2815,44.3702,22.5801
680,Grey|Magenta|Orange,#8C9099|#F24574|#F67405,25.7994,23.2297,22.5798,21.9328,21.2818,44.4760,22.5813
681,Grey|Cold White|Orange,#8C9099|#D9DFE5|#F67405,25.8190,23.2733,22.6347,22.0020,21.3635,44.4681,22.6377
682,Purple|Tan|Lime Green,#6C47B2|#A79E82|#D5D701,32.5738,23.9655,22.4321,21.3936,20.6167,49.7418,22.6795
683,Grey|Pink|Yellow,#8C9099|#F1A1AF|#FFE800,26.5976,23.4007,22.6526,22.0161,21.4511,45.7047,22.7084
684,Purple|Tan|Pink,#6C47B2|#A79E82|#F1A1AF,28.9202,23.6394,22.5880,21.7883,21.1478,48.6202,22.7139
685,Azure Blue|Green|Pink,#0066D9|#06924D|#F1A1AF,31.0629,23.8852,22.5942,21.6760,20.9345,43.7487,22.7806
686,Azure Blue|Grey|Orange,#0066D9|#8C9099|#F67405,26.0142,23.4384,22.8049,22.1918,21.5908,44.6770,22.8151
687,Green|Purple|Tan,#06924D|#6C47B2|#A79E82,32.4789,24.0161,22.5848,21.6810,21.0414,47.8720,22.8485
688,Olive Green|Tan|Cold White,#948902|#A79E82|#D9DFE5,27.3403,23.7035,22.9189,22.0638,21.1446,49.9738,22.8837
689,Purple|Tan|Yellow,#6C47B2|#A79E82|#FFE800,33.0178,24.1789,22.6397,21.6112,20.8656,50.5569,22.8951
690,Polymaker Teal|Olive Green|Tan,#4CC0C7|#948902|#A79E82,27.3970,23.7289,22.9439,22.0928,21.1830,50.0953,22.9109
691,Green|Black|Grey,#06924D|#080A0D|#8C9099,33.0853,23.6367,22.5796,22.2004,22.1137,39.0449,22.9186
692,Green|Lime Green|Pink,#06924D|#D5D701|#F1A1AF,29.9835,23.9020,22.8260,22.0396,21.4129,46.9249,22.9708
693,Green|Olive Green|Tan,#06924D|#948902|#A79E82,27.3295,23.7669,22.9982,22.1761,21.3104,49.9549,22.9715
694,Azure Blue|Grey|Tan,#0066D9|#8C9099|#A79E82,25.6517,23.6110,22.9965,22.3374,21.6572,46.4379,22.9742
695,Polymaker Teal|Purple|Tan,#4CC0C7|#6C47B2|#A79E82,30.1815,24.1054,22.9757,22.1485,21.4690,49.3085,23.1270
696,Purple|Tan|Cold White,#6C47B2|#A79E82|#D9DFE5,30.1806,24.1048,22.9758,22.1492,21.4698,49.3085,23.1270
697,Grey|Lime Green|Pink,#8C9099|#D5D701|#F1A1AF,27.1828,23.8316,23.0783,22.4365,21.8571,46.3649,23.1341
698,Purple|Grey|Tan,#6C47B2|#8C9099|#A79E82,29.9136,24.0922,22.9963,22.2004,21.5434,49.1094,23.1463
699,Azure Blue|Green|Tan,#0066D9|#06924D|#A79E82,26.7878,23.9035,23.2025,22.5374,21.8914,45.8941,23.2204
700,Azure Blue|Polymaker Teal|Tan,#0066D9|#4CC0C7|#A79E82,26.1214,23.9663,23.3242,22.6416,21.9355,47.3714,23.3039
701,Azure Blue|Tan|Cold White,#0066D9|#A79E82|#D9DFE5,26.1198,23.9655,23.3250,22.6435,21.9376,47.3714,23.3045
702,Green|Pink|Yellow,#06924D|#F1A1AF|#FFE800,30.3846,24.2665,23.1608,22.3690,21.7428,48.1540,23.3177
703,Tan|Lime Green|Pink,#A79E82|#D5D701|#F1A1AF,26.2451,24.0196,23.3894,22.7659,22.1606,51.7972,23.3928
704,Azure Blue|Purple|Tan,#0066D9|#6C47B2|#A79E82,29.7971,24.3325,23.2859,22.4976,21.8478,48.7614,23.4151
705,Olive Green|Tan|Lime Green,#948902|#A79E82|#D5D701,27.1584,24.1374,23.4620,22.7429,21.9937,50.2894,23.4401
706,Green|Cold White|Orange,#06924D|#D9DFE5|#F67405,30.5672,24.5494,23.3571,22.4226,21.6045,48.2792,23.4860
707,Green|Olive Green|Orange,#06924D|#948902|#F67405,31.1466,24.6071,23.3644,22.4184,21.6087,48.2799,23.5128
708,Purple|Grey|Orange,#6C47B2|#8C9099|#F67405,27.7704,24.2151,23.4996,22.9003,22.3723,46.5113,23.5577
709,Green|Polymaker Teal|Orange,#06924D|#4CC0C7|#F67405,30.3292,24.6100,23.4550,22.5431,21.7436,48.7495,23.5765
710,Green|Tan|Cold White,#06924D|#A79E82|#D9DFE5,26.0636,24.3344,23.7173,22.9670,22.1373,50.4927,23.6507
711,Green|Polymaker Teal|Tan,#06924D|#4CC0C7|#A79E82,26.0656,24.3365,23.7184,22.9672,22.1374,50.4927,23.6518
712,Polymaker Teal|Tan|Pink,#4CC0C7|#A79E82|#F1A1AF,26.4677,24.3805,23.7058,22.9573,22.1679,52.1534,23.6689
713,Polymaker Teal|Tan|Cold White,#4CC0C7|#A79E82|#D9DFE5,25.8279,24.4126,23.8089,23.0347,22.1600,51.8868,23.7237
714,Blue|Purple|Yellow,#003776|#6C47B2|#FFE800,35.3686,25.1332,23.5595,22.6662,22.1204,46.4014,23.8997
715,Blue|Grey|Red,#003776|#8C9099|#E72F1D,29.0890,24.5481,23.7834,23.2583,22.8558,37.0522,23.9032
716,Polymaker Teal|Tan|Orange,#4CC0C7|#A79E82|#F67405,27.4069,24.6627,23.9157,23.1780,22.4483,52.6063,23.9204
717,Green|Black|Cold White,#06924D|#080A0D|#D9DFE5,34.8262,24.7412,23.5995,23.1800,23.0900,40.1236,23.9606
718,Green|Black|Polymaker Teal,#06924D|#080A0D|#4CC0C7,34.8292,24.7482,23.6075,23.1910,23.1046,40.1222,23.9696
719,Blue|Green|Black,#003776|#06924D|#080A0D,34.8260,24.7537,23.6117,23.1982,23.1120,40.1090,23.9760
720,Azure Blue|Green|Black,#0066D9|#06924D|#080A0D,34.8514,24.7830,23.6419,23.2247,23.1367,40.1632,24.0039
721,Tan|Pink|Yellow,#A79E82|#F1A1AF|#FFE800,26.7031,24.6101,24.0097,23.4212,22.8409,53.2744,24.0157
722,Polymaker Teal|Olive Green|Orange,#4CC0C7|#948902|#F67405,33.8285,25.1271,23.8511,22.9254,22.1480,50.0165,24.0263
723,Green|Dark Grey|Grey,#06924D|#485259|#8C9099,28.1765,24.5834,23.9594,23.6052,23.4036,38.0454,24.0943
724,Olive Green|Lime Green|Magenta,#948902|#D5D701|#F24574,35.0375,25.3353,23.9247,23.0050,22.3280,51.3334,24.1702
725,Green|Tan|Lime Green,#06924D|#A79E82|#D5D701,26.5619,24.7894,24.2224,23.5827,22.9163,50.9085,24.1861
726,Green|Dark Grey|Cold White,#06924D|#485259|#D9DFE5,28.3230,24.6879,24.0615,23.7124,23.5152,38.1040,24.2001
727,Green|Dark Grey|Polymaker Teal,#06924D|#485259|#4CC0C7,28.3328,24.6999,24.0748,23.7265,23.5309,38.1047,24.2132
728,Green|Black|Dark Grey,#06924D|#080A0D|#485259,31.3206,24.7420,23.9933,23.7068,23.6180,39.2988,24.2244
729,Green|Orange|Yellow,#06924D|#F67405|#FFE800,30.8648,25.1676,24.0927,23.3096,22.6872,48.5275,24.2386
730,Polymaker Teal|Grey|Orange,#4CC0C7|#8C9099|#F67405,27.6122,24.9142,24.2324,23.5749,22.9295,45.9084,24.2445
731,Azure Blue|Green|Dark Grey,#0066D9|#06924D|#485259,28.3774,24.7521,24.1256,23.7757,23.5786,38.1754,24.2639
732,Purple|Lime Green|Red,#6C47B2|#D5D701|#E72F1D,37.4997,25.7986,23.8555,22.7305,22.0610,51.5944,24.2645
733,Green|Lime Green|Orange,#06924D|#D5D701|#F67405,30.8380,25.1834,24.1210,23.3498,22.7211,48.5307,24.2666
734,Blue|Green|Dark Grey,#003776|#06924D|#485259,28.4502,24.7798,24.1478,23.7942,23.5955,38.1760,24.2870
735,Polymaker Teal|Tan|Lime Green,#4CC0C7|#A79E82|#D5D701,26.4476,24.9337,24.3702,23.6965,22.9714,52.2571,24.3151
736,Tan|Lime Green|Cold White,#A79E82|#D5D701|#D9DFE5,26.4517,24.9417,24.3779,23.7058,22.9835,52.2505,24.3237
737,Azure Blue|Tan|Lime Green,#0066D9|#A79E82|#D5D701,27.9355,25.1200,24.3865,23.6845,23.0044,49.3766,24.4023
738,Green|Black|Purple,#06924D|#080A0D|#6C47B2,35.8599,25.4366,24.0565,23.5056,23.3715,41.5664,24.4711
739,Blue|Purple|Lime Green,#003776|#6C47B2|#D5D701,37.6039,25.8741,24.1031,23.1615,22.5869,49.1330,24.5178
740,Olive Green|Red|Orange,#948902|#E72F1D|#F67405,34.9421,25.7982,24.4974,23.5830,22.8349,52.6966,24.6906
741,Olive Green|Lime Green|Red,#948902|#D5D701|#E72F1D,34.3804,25.8114,24.5241,23.6366,22.9465,51.6299,24.7240
742,Olive Green|Magenta|Orange,#948902|#F24574|#F67405,35.0699,25.8877,24.5965,23.6985,22.9564,52.8081,24.7931
743,Blue|Polymaker Teal|Red,#003776|#4CC0C7|#E72F1D,31.3737,25.6338,24.6364,23.9629,23.4573,38.9296,24.7983
744,Purple|Lime Green|Magenta,#6C47B2|#D5D701|#F24574,38.2671,26.3201,24.4079,23.2928,22.6133,51.5111,24.8065
745,Olive Green|Tan|Yellow,#948902|#A79E82|#FFE800,27.7197,25.4630,24.8587,24.1974,23.5145,53.3429,24.8302
746,Grey|Red|Magenta,#8C9099|#E72F1D|#F24574,28.5147,25.6260,24.9125,24.2134,23.5062,45.8437,24.9197
747,Purple|Grey|Red,#6C47B2|#8C9099|#E72F1D,28.7368,25.6533,24.9431,24.2835,23.6449,45.6461,24.9684
748,Purple|Lime Green|Orange,#6C47B2|#D5D701|#F67405,37.8625,26.4426,24.6392,23.5618,22.8799,50.8724,25.0022
749,Olive Green|Red|Yellow,#948902|#E72F1D|#FFE800,34.6891,26.0445,24.8049,23.9691,23.3162,52.0696,25.0068
750,Azure Blue|Grey|Red,#0066D9|#8C9099|#E72F1D,28.5856,25.7009,25.0020,24.3301,23.6592,46.0838,25.0155
751,Grey|Cold White|Red,#8C9099|#D9DFE5|#E72F1D,28.6493,25.7906,25.0989,24.4411,23.7863,45.8410,25.1159
752,Green|Tan|Yellow,#06924D|#A79E82|#FFE800,27.5415,25.7183,25.1538,24.5380,23.9083,52.9807,25.1282
753,Tan|Lime Green|Yellow,#A79E82|#D5D701|#FFE800,27.4205,25.8577,25.2986,24.6539,23.9749,54.4371,25.2558
754,Olive Green|Pink|Orange,#948902|#F1A1AF|#F67405,35.1765,26.3458,25.1246,24.2468,23.5029,53.3859,25.2963
755,Grey|Red|Pink,#8C9099|#E72F1D|#F1A1AF,28.5076,25.9614,25.3086,24.6460,23.9713,44.6858,25.3037
756,Green|Grey|Yellow,#06924D|#8C9099|#FFE800,28.7660,26.0248,25.3447,24.6961,24.0713,47.8679,25.3604
757,Polymaker Teal|Grey|Yellow,#4CC0C7|#8C9099|#FFE800,28.7433,26.0296,25.3549,24.7077,24.0841,47.9685,25.3687
758,Grey|Cold White|Yellow,#8C9099|#D9DFE5|#FFE800,28.7361,26.0214,25.3529,24.7167,24.1065,47.9685,25.3691
759,Purple|Lime Green|Pink,#6C47B2|#D5D701|#F1A1AF,37.8445,26.7419,25.0671,24.0736,23.4252,50.0436,25.4078
760,Grey|Lime Green|Yellow,#8C9099|#D5D701|#FFE800,28.7922,26.0891,25.4112,24.7574,24.1254,47.9653,25.4232
761,Azure Blue|Tan|Yellow,#0066D9|#A79E82|#FFE800,29.3012,26.2216,25.4531,24.7512,24.1074,51.0073,25.4864
762,Olive Green|Magenta|Yellow,#948902|#F24574|#FFE800,35.7299,26.6335,25.3924,24.5682,23.9235,52.7792,25.6008
763,Green|Dark Grey|Purple,#06924D|#485259|#6C47B2,31.5604,26.4190,25.4343,24.8998,24.6260,42.6500,25.6594
764,Tan|Cold White|Yellow,#A79E82|#D9DFE5|#FFE800,27.8441,26.3179,25.7645,25.1253,24.4540,54.8621,25.7216
765,Azure Blue|Lime Green|Red,#0066D9|#D5D701|#E72F1D,31.6205,26.7588,25.7482,24.9690,24.3409,49.6401,25.8639
766,Polymaker Teal|Tan|Yellow,#4CC0C7|#A79E82|#FFE800,28.1040,26.4738,25.9189,25.2936,24.6369,55.4811,25.8837
767,Olive Green|Cold White|Orange,#948902|#D9DFE5|#F67405,36.2617,27.3684,26.1423,25.2365,24.4709,54.3847,26.3024
768,Polymaker Teal|Grey|Red,#4CC0C7|#8C9099|#E72F1D,30.8357,27.2724,26.4386,25.6791,24.9460,47.2746,26.4758
769,Olive Green|Lime Green|Pink,#948902|#D5D701|#F1A1AF,34.8928,27.4347,26.4558,25.7262,25.1088,53.7785,26.5805
770,Polymaker Teal|Lime Green|Red,#4CC0C7|#D5D701|#E72F1D,31.6216,27.3972,26.5093,25.7649,25.1269,52.1214,26.5811
771,Green|Grey|Lime Green,#06924D|#8C9099|#D5D701,30.1289,27.3731,26.7142,26.0861,25.4715,46.9856,26.7296
772,Polymaker Teal|Grey|Lime Green,#4CC0C7|#8C9099|#D5D701,30.0491,27.4178,26.7643,26.1300,25.5010,47.2347,26.7739
773,Grey|Lime Green|Cold White,#8C9099|#D5D701|#D9DFE5,30.0425,27.4140,26.7631,26.1341,25.5131,47.2347,26.7741
774,Purple|Grey|Yellow,#6C47B2|#8C9099|#FFE800,37.8678,28.0117,26.4914,25.5535,24.9087,51.0373,26.7826
775,Olive Green|Orange|Yellow,#948902|#F67405|#FFE800,35.7361,27.6752,26.6277,25.8936,25.2865,54.1508,26.7844
776,Olive Green|Lime Green|Orange,#948902|#D5D701|#F67405,35.6656,27.7371,26.7232,25.9927,25.3773,54.1538,26.8649
777,Blue|Cold White|Red,#003776|#D9DFE5|#E72F1D,33.2815,27.6354,26.7140,26.1290,25.7174,38.4724,26.8822
778,Blue|Purple|Red,#003776|#6C47B2|#E72F1D,33.2877,27.7391,26.8662,26.3171,25.9300,38.5151,27.0281
779,Blue|Red|Magenta,#003776|#E72F1D|#F24574,33.2889,27.7407,26.8678,26.3188,25.9317,38.5218,27.0297
780,Blue|Azure Blue|Red,#003776|#0066D9|#E72F1D,33.2917,27.7447,26.8718,26.3228,25.9359,38.5249,27.0338
781,Purple|Grey|Lime Green,#6C47B2|#8C9099|#D5D701,38.8528,28.3369,26.7404,25.7574,25.0610,50.6833,27.0471
782,Blue|Grey|Pink,#003776|#8C9099|#F1A1AF,30.8580,27.5727,27.0396,26.6248,26.2631,39.3867,27.0988
783,Polymaker Teal|Olive Green|Cold White,#4CC0C7|#948902|#D9DFE5,39.9968,28.3968,26.9982,26.0307,25.2090,52.0202,27.2138
784,Purple|Red|Yellow,#6C47B2|#E72F1D|#FFE800,38.5720,28.5418,26.9241,25.9140,25.2368,50.9122,27.2279
785,Olive Green|Pink|Yellow,#948902|#F1A1AF|#FFE800,35.9198,28.0639,27.1078,26.4112,25.8106,54.5190,27.2376
786,Azure Blue|Lime Green|Magenta,#0066D9|#D5D701|#F24574,33.1193,28.1812,27.1774,26.3929,25.7733,50.8125,27.2871
787,Green|Purple|Lime Green,#06924D|#6C47B2|#D5D701,42.2470,28.8347,26.9530,25.9372,25.3017,52.0646,27.3859
788,Polymaker Teal|Red|Yellow,#4CC0C7|#E72F1D|#FFE800,32.1564,28.1614,27.3171,26.6130,25.9948,52.6356,27.3872
789,Blue|Red|Pink,#003776|#E72F1D|#F1A1AF,33.3532,28.0962,27.2711,26.7383,26.3488,38.8073,27.4172
790,Azure Blue|Purple|Lime Green,#0066D9|#6C47B2|#D5D701,41.3493,28.9437,27.0846,26.0022,25.2703,52.6373,27.4730
791,Blue|Grey|Magenta,#003776|#8C9099|#F24574,32.0563,28.0521,27.3841,26.9141,26.5412,39.6514,27.4831
792,Green|Polymaker Teal|Olive Green,#06924D|#4CC0C7|#948902,39.6466,28.6374,27.2768,26.3369,25.5382,51.8213,27.4872
793,Green|Olive Green|Cold White,#06924D|#948902|#D9DFE5,39.7227,28.6682,27.2869,26.3316,25.5217,51.8974,27.4999
794,Azure Blue|Lime Green|Orange,#0066D9|#D5D701|#F67405,32.5837,28.4353,27.5556,26.8340,26.2386,49.8719,27.6347
795,Polymaker Teal|Purple|Orange,#4CC0C7|#6C47B2|#F67405,34.6999,28.6466,27.5764,26.8298,26.2631,50.1082,27.7382
796,Polymaker Teal|Lime Green|Magenta,#4CC0C7|#D5D701|#F24574,33.4016,28.6408,27.6947,26.9390,26.3031,54.3646,27.7899
797,Purple|Pink|Yellow,#6C47B2|#F1A1AF|#FFE800,39.7722,29.0794,27.4879,26.5433,25.9407,51.3964,27.8114
798,Grey|Pink|Magenta,#8C9099|#F1A1AF|#F24574,30.4329,28.4817,27.9226,27.3272,26.7050,46.3383,27.9045
799,Azure Blue|Purple|Yellow,#0066D9|#6C47B2|#FFE800,40.9771,29.3648,27.6159,26.5569,25.8405,52.9000,27.9609
800,Purple|Orange|Yellow,#6C47B2|#F67405|#FFE800,38.7212,29.1303,27.6833,26.7954,26.2008,51.0103,27.9628
801,Polymaker Teal|Purple|Lime Green,#4CC0C7|#6C47B2|#D5D701,42.5354,29.4745,27.5936,26.5142,25.8093,52.6836,27.9944
802,Purple|Lime Green|Cold White,#6C47B2|#D5D701|#D9DFE5,42.5011,29.4742,27.5971,26.5218,25.8178,52.7201,27.9980
803,Azure Blue|Grey|Yellow,#0066D9|#8C9099|#FFE800,32.4478,28.9091,28.0878,27.3709,26.7375,49.5306,28.1400
804,Green|Purple|Yellow,#06924D|#6C47B2|#FFE800,42.5742,29.5376,27.7784,26.8408,26.2630,51.0995,28.1892
805,Polymaker Teal|Purple|Red,#4CC0C7|#6C47B2|#E72F1D,33.5341,29.0177,28.1270,27.3810,26.7067,49.2562,28.1994
806,Purple|Magenta|Yellow,#6C47B2|#F24574|#FFE800,39.9423,29.5071,27.8854,26.9004,26.2703,51.8276,28.2037
807,Azure Blue|Red|Yellow,#0066D9|#E72F1D|#FFE800,33.4764,29.1349,28.2258,27.5111,26.9360,51.2677,28.3230
808,Grey|Cold White|Magenta,#8C9099|#D9DFE5|#F24574,31.4030,28.9447,28.3240,27.7087,27.0832,46.4831,28.3267
809,Azure Blue|Grey|Magenta,#0066D9|#8C9099|#F24574,31.4194,28.9548,28.3299,27.7100,27.0810,46.6126,28.3324
810,Purple|Grey|Magenta,#6C47B2|#8C9099|#F24574,31.5959,28.9696,28.3382,27.7340,27.1402,46.4245,28.3518
811,Grey|Cold White|Pink,#8C9099|#D9DFE5|#F1A1AF,30.4577,28.9025,28.4097,27.8569,27.2643,46.9524,28.3797
812,Azure Blue|Grey|Lime Green,#0066D9|#8C9099|#D5D701,32.4079,29.1114,28.3639,27.6901,27.0588,49.2012,28.4007
813,Azure Blue|Grey|Pink,#0066D9|#8C9099|#F1A1AF,30.4801,28.9264,28.4388,27.8969,27.3196,47.0227,28.4117
814,Polymaker Teal|Red|Orange,#4CC0C7|#E72F1D|#F67405,32.3942,29.1543,28.3884,27.6696,26.9723,52.5149,28.4120
815,Polymaker Teal|Red|Magenta,#4CC0C7|#E72F1D|#F24574,33.1835,29.2885,28.4136,27.6078,26.8172,51.6396,28.4482
816,Purple|Grey|Pink,#6C47B2|#8C9099|#F1A1AF,30.8118,28.9667,28.4644,27.9384,27.4026,47.0510,28.4525
