rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
3846,Polymaker Teal|Lime Green|Magenta|Orange,#4CC0C7|#D5D701|#F24574|#F67405,38.9377,34.4225,32.2905,29.7831,26.9285,51.0164,32.1028
3847,Polymaker Teal|Magenta|Orange|Yellow,#4CC0C7|#F24574|#F67405|#FFE800,38.9377,34.4225,32.2905,29.7831,26.9285,51.0164,32.1028
3848,Polymaker Teal|Lime Green|Cold White|Red,#4CC0C7|#D5D701|#D9DFE5|#E72F1D,38.1218,34.2431,32.3282,29.9795,27.2152,50.2213,32.1113
3849,Polymaker Teal|Cold White|Red|Yellow,#4CC0C7|#D9DFE5|#E72F1D|#FFE800,38.1218,34.2431,32.3282,29.9795,27.2152,50.2213,32.1113
3850,Polymaker Teal|Cold White|Red|White,#4CC0C7|#D9DFE5|#E72F1D|#EBF7FF,38.1574,34.2471,32.3274,29.9772,27.2282,50.6722,32.1122
3851,Brown|Tan|Lime Green|Pink,#55331A|#A79E82|#D5D701|#F1A1AF,37.5290,33.8403,32.2157,30.3913,28.3900,49.8739,32.1158
3852,Brown|Tan|Orange|Yellow,#55331A|#A79E82|#F67405|#FFE800,37.5255,33.8389,32.2267,30.3951,28.3525,49.5986,32.1170
3853,Green|Purple|Lime Green|Cold White,#06924D|#6C47B2|#D5D701|#D9DFE5,52.2913,36.2459,31.2653,27.9931,25.9642,82.4401,32.1195
3854,Azure Blue|Dark Olive Drab|Olive Green|Orange,#0066D9|#575B54|#948902|#F67405,42.3838,34.3295,31.8102,29.9129,28.3155,79.7526,32.1212
3855,Polymaker Teal|Red|White|Pink,#4CC0C7|#E72F1D|#EBF7FF|#F1A1AF,38.1314,34.2528,32.3412,30.0096,27.2780,50.5130,32.1312
3856,Polymaker Teal|Cold White|Red|Orange,#4CC0C7|#D9DFE5|#E72F1D|#F67405,38.1334,34.2438,32.3407,30.0185,27.2904,50.8884,32.1312
3857,Brown|Tan|Red|Yellow,#55331A|#A79E82|#E72F1D|#FFE800,37.5449,33.8614,32.2388,30.4053,28.3740,49.7082,32.1334
3858,Polymaker Teal|Cold White|Magenta|Orange,#4CC0C7|#D9DFE5|#F24574|#F67405,38.9220,34.4469,32.3416,29.8656,27.0539,51.0832,32.1562
3859,Polymaker Teal|White|Magenta|Orange,#4CC0C7|#EBF7FF|#F24574|#F67405,38.9963,34.4827,32.3444,29.8454,27.0130,51.1079,32.1640
3860,Black|Purple|Red|White,#080A0D|#6C47B2|#E72F1D|#EBF7FF,40.8528,34.9862,32.2612,29.3747,26.5266,72.4632,32.1804
3861,Polymaker Teal|Lime Green|Red|Orange,#4CC0C7|#D5D701|#E72F1D|#F67405,38.2307,34.3271,32.3907,30.0350,27.2711,50.3552,32.1810
3862,Polymaker Teal|Red|Orange|Yellow,#4CC0C7|#E72F1D|#F67405|#FFE800,38.2307,34.3271,32.3907,30.0350,27.2711,50.3552,32.1810
3863,Polymaker Teal|Lime Green|Red|Pink,#4CC0C7|#D5D701|#E72F1D|#F1A1AF,38.1693,34.2896,32.3856,30.0747,27.3608,50.3539,32.1822
3864,Polymaker Teal|Red|Pink|Orange,#4CC0C7|#E72F1D|#F1A1AF|#F67405,38.1693,34.2896,32.3856,30.0747,27.3608,50.3539,32.1822
3865,Polymaker Teal|Red|Pink|Yellow,#4CC0C7|#E72F1D|#F1A1AF|#FFE800,38.1693,34.2896,32.3856,30.0747,27.3608,50.3539,32.1822
3866,Brown|Tan|Pink|Yellow,#55331A|#A79E82|#F1A1AF|#FFE800,37.5423,33.9026,32.2948,30.4637,28.4249,49.8001,32.1832
3867,Polymaker Teal|Cold White|Red|Pink,#4CC0C7|#D9DFE5|#E72F1D|#F1A1AF,38.2013,34.3159,32.4072,30.0656,27.3290,50.5234,32.1907
3868,Brown|Tan|Magenta|Yellow,#55331A|#A79E82|#F24574|#FFE800,37.5781,33.9269,32.3064,30.4633,28.4116,49.6850,32.1951
3869,Polymaker Teal|Pink|Magenta|Orange,#4CC0C7|#F1A1AF|#F24574|#F67405,38.9925,34.4951,32.3918,29.9226,27.1089,51.1838,32.2088
3870,Brown|Tan|Red|Pink,#55331A|#A79E82|#E72F1D|#F1A1AF,37.5611,33.9226,32.3280,30.5017,28.4411,49.5884,32.2121
3871,Brown|Tan|Pink|Magenta,#55331A|#A79E82|#F1A1AF|#F24574,37.5611,33.9226,32.3280,30.5017,28.4411,49.5884,32.2121
3872,Brown|Tan|Pink|Orange,#55331A|#A79E82|#F1A1AF|#F67405,37.5611,33.9226,32.3280,30.5017,28.4411,49.5884,32.2121
3873,Purple|Cold White|Magenta|Orange,#6C47B2|#D9DFE5|#F24574|#F67405,45.5650,35.0418,31.8300,29.3932,27.4890,59.1094,32.2175
3874,Brown|Tan|Red|Orange,#55331A|#A79E82|#E72F1D|#F67405,37.5821,33.9326,32.3301,30.5036,28.4489,49.5800,32.2181
3875,Green|Polymaker Teal|Purple|Lime Green,#06924D|#4CC0C7|#6C47B2|#D5D701,52.1360,36.2575,31.3756,28.1822,26.1812,81.9022,32.2199
3876,Azure Blue|Green|Dark Grey|Olive Green,#0066D9|#06924D|#485259|#948902,43.4545,34.6168,31.8395,29.8404,28.3173,80.3310,32.2286
3877,Brown|Tan|Red|Magenta,#55331A|#A79E82|#E72F1D|#F24574,37.5725,33.9454,32.3514,30.5246,28.4644,49.6393,32.2350
3878,Brown|Tan|Magenta|Orange,#55331A|#A79E82|#F24574|#F67405,37.5725,33.9454,32.3514,30.5246,28.4644,49.6393,32.2350
3879,Black|Purple|White|Pink,#080A0D|#6C47B2|#EBF7FF|#F1A1AF,40.9404,35.0719,32.3167,29.4355,26.5980,73.6001,32.2537
3880,Black|Purple|Grey|White,#080A0D|#6C47B2|#8C9099|#EBF7FF,41.3677,35.1476,32.2870,29.3680,26.6682,77.2913,32.2578
3881,Purple|Cold White|Pink|Orange,#6C47B2|#D9DFE5|#F1A1AF|#F67405,45.6189,35.1432,31.9177,29.4135,27.4637,60.1677,32.2783
3882,Polymaker Teal|Brown|Tan|Red,#4CC0C7|#55331A|#A79E82|#E72F1D,42.7324,35.9140,32.4389,28.6430,24.6028,72.2553,32.2785
